id;name;wallet_address;price;status_code;description;parameters;created_at;updated_at
654e6773-79c0-41b5-95f7-c3304e11cfe3;devoted blah;gee investigate veto;5663.77;corner rosemary swif;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T19:23:40;2025-09-15T08:51:34
6fd0d007-b964-4f84-a786-82d8aff8f892;joy amid equally;even duh whoever;27189.21;pecan publicity reve;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T19:09:46;2025-09-15T07:24:19
bd2191ae-c2c0-40d0-8af5-1853e2f2b757;vet moralise;quarrelsome supposing;31781.56;function clamp baseb;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T23:22:59;2025-09-15T06:19:23
1c57e6cf-4e5a-4307-9880-ad59eaa519f3;impeccable acknowledge silently;shakily;2240.81;bludgeon violin inci;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-16T00:36:28;2025-09-15T18:09:49
f0d01978-32e6-43e7-8707-1f5a6aad9dee;brr for;repeatedly repeat wearily;32441.25;before joyously once;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T03:58:51;2025-09-15T18:34:25
4ce51094-30ac-4511-a0e1-b0ef89e14eb1;mediocre phooey;finally mmm;22315.04;inasmuch;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T14:03:53;2025-09-15T21:49:56
587860a2-f51d-4ec7-9b6a-8c7c97c569de;gosh where;whose hm for;12138.76;uselessly past;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T12:55:45;2025-09-16T02:01:00
cf0faae3-5ef4-402b-bc40-c3199b6bbcd8;because;pro barring tut;26568.82;forsaken word dental;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T12:56:04;2025-09-15T18:44:18
a99fa2dd-bfae-4d5d-9bc8-f710ce11e970;notwithstanding priesthood considering;silver even;14260.82;eventually enraged w;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T13:33:53;2025-09-15T21:56:20
28a8a63d-6b9f-4d4b-85fd-e876b6c94fd2;anti mmm fortunate;saw finally;3412.85;as;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;2025-09-15T20:40:59;2025-09-16T00:22:28
